"","Name","Event","Year","Date","Elo"
"143365","Joel Freeman","Texas",2021,2021-03-26,1907
"143599","Kyle Klein","Texas",2021,2021-03-26,1831
"143614","Thomas Gilbert","Texas",2021,2021-03-26,1839
"143755","Alden Harris","Texas",2021,2021-03-26,1767
"143990","Ezra Aderhold","Texas",2021,2021-03-26,1813
"144231","Nikko Locastro","Jonesboro",2021,2021-04-16,1932
"144238","Garrett Gurthie","Jonesboro",2021,2021-04-16,1940
"144248","James Conrad","Jonesboro",2021,2021-04-16,1918
"144315","Paul McBeth","Jonesboro",2021,2021-04-16,1999
"144351","Bradley Williams","Jonesboro",2021,2021-04-16,1840
"144370","Jeremy Koling","Jonesboro",2021,2021-04-16,1892
"144408","Eagle McMahon","Jonesboro",2021,2021-04-16,1969
"144411","Richard Wysocki","Jonesboro",2021,2021-04-16,2005
"144442","Kevin Jones","Jonesboro",2021,2021-04-16,1933
"144500","Calvin Heimburg","Jonesboro",2021,2021-04-16,1978
"144521","Drew Gibson","Jonesboro",2021,2021-04-16,1901
"144558","Chris Clemons","Jonesboro",2021,2021-04-16,1897
"144589","Eric Oakley","Jonesboro",2021,2021-04-16,1885
"144637","Adam Hammes","Jonesboro",2021,2021-04-16,1895
"144699","Chris Dickerson","Jonesboro",2021,2021-04-16,1938
"144716","Andrew Presnell","Jonesboro",2021,2021-04-16,1876
"144788","Joel Freeman","Jonesboro",2021,2021-04-16,1917
"144870","Gannon Buhr","Jonesboro",2021,2021-04-16,1716
"145022","Kyle Klein","Jonesboro",2021,2021-04-16,1842
"145037","Thomas Gilbert","Jonesboro",2021,2021-04-16,1862
"145178","Alden Harris","Jonesboro",2021,2021-04-16,1783
"145413","Ezra Aderhold","Jonesboro",2021,2021-04-16,1833
"145654","Nikko Locastro","DDO",2021,2021-04-28,1916
"145661","Garrett Gurthie","DDO",2021,2021-04-28,1941
"145671","James Conrad","DDO",2021,2021-04-28,1931
"145738","Paul McBeth","DDO",2021,2021-04-28,2021
"145831","Eagle McMahon","DDO",2021,2021-04-28,1980
"145834","Richard Wysocki","DDO",2021,2021-04-28,2013
"145865","Kevin Jones","DDO",2021,2021-04-28,1934
"145923","Calvin Heimburg","DDO",2021,2021-04-28,1986
"145944","Drew Gibson","DDO",2021,2021-04-28,1916
"145981","Chris Clemons","DDO",2021,2021-04-28,1898
"146012","Eric Oakley","DDO",2021,2021-04-28,1887
"146060","Adam Hammes","DDO",2021,2021-04-28,1909
"146122","Chris Dickerson","DDO",2021,2021-04-28,1954
"146139","Andrew Presnell","DDO",2021,2021-04-28,1894
"146211","Joel Freeman","DDO",2021,2021-04-28,1921
"146293","Gannon Buhr","DDO",2021,2021-04-28,1754
"146460","Thomas Gilbert","DDO",2021,2021-04-28,1868
"146601","Alden Harris","DDO",2021,2021-04-28,1809
"148481","Simon Lizotte","OTB",2021,2021-05-14,1898
"148500","Nikko Locastro","OTB",2021,2021-05-14,1939
"148507","Garrett Gurthie","OTB",2021,2021-05-14,1942
"148517","James Conrad","OTB",2021,2021-05-14,1942
"148584","Paul McBeth","OTB",2021,2021-05-14,2021
"148639","Jeremy Koling","OTB",2021,2021-05-14,1892
"148677","Eagle McMahon","OTB",2021,2021-05-14,1990
"148680","Richard Wysocki","OTB",2021,2021-05-14,2018
"148711","Kevin Jones","OTB",2021,2021-05-14,1938
"148769","Calvin Heimburg","OTB",2021,2021-05-14,1997
"148790","Drew Gibson","OTB",2021,2021-05-14,1919
"148827","Chris Clemons","OTB",2021,2021-05-14,1905
"148858","Eric Oakley","OTB",2021,2021-05-14,1878
"148906","Adam Hammes","OTB",2021,2021-05-14,1917
"149057","Joel Freeman","OTB",2021,2021-05-14,1928
"149291","Kyle Klein","OTB",2021,2021-05-14,1853
"149306","Thomas Gilbert","OTB",2021,2021-05-14,1867
"149447","Alden Harris","OTB",2021,2021-05-14,1822
"149682","Ezra Aderhold","OTB",2021,2021-05-14,1842
"151353","Garrett Gurthie","Masters Cup",2021,2021-05-28,1924
"151363","James Conrad","Masters Cup",2021,2021-05-28,1937
"151430","Paul McBeth","Masters Cup",2021,2021-05-28,2028
"151485","Jeremy Koling","Masters Cup",2021,2021-05-28,1900
"151526","Richard Wysocki","Masters Cup",2021,2021-05-28,2003
"151557","Kevin Jones","Masters Cup",2021,2021-05-28,1945
"151615","Calvin Heimburg","Masters Cup",2021,2021-05-28,1966
"151636","Drew Gibson","Masters Cup",2021,2021-05-28,1929
"151673","Chris Clemons","Masters Cup",2021,2021-05-28,1909
"151704","Eric Oakley","Masters Cup",2021,2021-05-28,1903
"151752","Adam Hammes","Masters Cup",2021,2021-05-28,1934
"152137","Kyle Klein","Masters Cup",2021,2021-05-28,1871
"152152","Thomas Gilbert","Masters Cup",2021,2021-05-28,1886
"152293","Alden Harris","Masters Cup",2021,2021-05-28,1830
"152528","Ezra Aderhold","Masters Cup",2021,2021-05-28,1862
"154173","Simon Lizotte","Portland",2021,2021-06-04,1914
"154192","Nikko Locastro","Portland",2021,2021-06-04,1949
"154199","Garrett Gurthie","Portland",2021,2021-06-04,1940
"154209","James Conrad","Portland",2021,2021-06-04,1942
"154276","Paul McBeth","Portland",2021,2021-06-04,2036
"154331","Jeremy Koling","Portland",2021,2021-06-04,1909
"154369","Eagle McMahon","Portland",2021,2021-06-04,2003
"154372","Richard Wysocki","Portland",2021,2021-06-04,2027
"154403","Kevin Jones","Portland",2021,2021-06-04,1966
"154461","Calvin Heimburg","Portland",2021,2021-06-04,2006
"154519","Chris Clemons","Portland",2021,2021-06-04,1915
"154550","Eric Oakley","Portland",2021,2021-06-04,1906
"154598","Adam Hammes","Portland",2021,2021-06-04,1938
"154677","Andrew Presnell","Portland",2021,2021-06-04,1903
"154749","Joel Freeman","Portland",2021,2021-06-04,1929
"154983","Kyle Klein","Portland",2021,2021-06-04,1884
"154998","Thomas Gilbert","Portland",2021,2021-06-04,1896
"155139","Alden Harris","Portland",2021,2021-06-04,1846
"155374","Ezra Aderhold","Portland",2021,2021-06-04,1874
"158442","Simon Lizotte","World",2021,2021-06-22,1924
"158461","Nikko Locastro","World",2021,2021-06-22,1953
"158468","Garrett Gurthie","World",2021,2021-06-22,1952
"158478","James Conrad","World",2021,2021-06-22,1961
"158482","Matthew Orum","World",2021,2021-06-22,1877
"158545","Paul McBeth","World",2021,2021-06-22,2040
"158581","Bradley Williams","World",2021,2021-06-22,1850
"158600","Jeremy Koling","World",2021,2021-06-22,1915
"158638","Eagle McMahon","World",2021,2021-06-22,2010
"158641","Richard Wysocki","World",2021,2021-06-22,2034
"158672","Kevin Jones","World",2021,2021-06-22,1978
"158708","Corey Ellis","World",2021,2021-06-22,1793
"158730","Calvin Heimburg","World",2021,2021-06-22,2014
"158751","Drew Gibson","World",2021,2021-06-22,1936
"158788","Chris Clemons","World",2021,2021-06-22,1923
"158819","Eric Oakley","World",2021,2021-06-22,1912
"158867","Adam Hammes","World",2021,2021-06-22,1946
"158929","Chris Dickerson","World",2021,2021-06-22,1962
"158946","Andrew Presnell","World",2021,2021-06-22,1908
"159018","Joel Freeman","World",2021,2021-06-22,1940
"159100","Gannon Buhr","World",2021,2021-06-22,1779
"159252","Kyle Klein","World",2021,2021-06-22,1902
"159267","Thomas Gilbert","World",2021,2021-06-22,1915
"159408","Alden Harris","World",2021,2021-06-22,1857
"159643","Ezra Aderhold","World",2021,2021-06-22,1893
"162730","Nikko Locastro","DesMoines",2021,2021-07-09,1953
"162737","Garrett Gurthie","DesMoines",2021,2021-07-09,1953
"162747","James Conrad","DesMoines",2021,2021-07-09,1966
"162814","Paul McBeth","DesMoines",2021,2021-07-09,2048
"162850","Bradley Williams","DesMoines",2021,2021-07-09,1863
"162941","Kevin Jones","DesMoines",2021,2021-07-09,1982
"162999","Calvin Heimburg","DesMoines",2021,2021-07-09,2021
"163057","Chris Clemons","DesMoines",2021,2021-07-09,1931
"163088","Eric Oakley","DesMoines",2021,2021-07-09,1913
"163136","Adam Hammes","DesMoines",2021,2021-07-09,1954
"163215","Andrew Presnell","DesMoines",2021,2021-07-09,1908
"163369","Gannon Buhr","DesMoines",2021,2021-07-09,1802
"163536","Thomas Gilbert","DesMoines",2021,2021-07-09,1920
"163912","Ezra Aderhold","DesMoines",2021,2021-07-09,1903
"166980","Simon Lizotte","DGLO",2021,2021-07-23,1936
"166999","Nikko Locastro","DGLO",2021,2021-07-23,1954
"167006","Garrett Gurthie","DGLO",2021,2021-07-23,1958
"167016","James Conrad","DGLO",2021,2021-07-23,1978
"167083","Paul McBeth","DGLO",2021,2021-07-23,2050
"167119","Bradley Williams","DGLO",2021,2021-07-23,1862
"167138","Jeremy Koling","DGLO",2021,2021-07-23,1910
"167176","Eagle McMahon","DGLO",2021,2021-07-23,2023
"167179","Richard Wysocki","DGLO",2021,2021-07-23,2034
"167210","Kevin Jones","DGLO",2021,2021-07-23,1988
"167246","Corey Ellis","DGLO",2021,2021-07-23,1832
"167268","Calvin Heimburg","DGLO",2021,2021-07-23,2017
"167289","Drew Gibson","DGLO",2021,2021-07-23,1936
"167326","Chris Clemons","DGLO",2021,2021-07-23,1931
"167357","Eric Oakley","DGLO",2021,2021-07-23,1922
"167405","Adam Hammes","DGLO",2021,2021-07-23,1967
"167467","Chris Dickerson","DGLO",2021,2021-07-23,1969
"167484","Andrew Presnell","DGLO",2021,2021-07-23,1905
"167556","Joel Freeman","DGLO",2021,2021-07-23,1948
"167638","Gannon Buhr","DGLO",2021,2021-07-23,1825
"167790","Kyle Klein","DGLO",2021,2021-07-23,1924
"167805","Thomas Gilbert","DGLO",2021,2021-07-23,1925
"168181","Ezra Aderhold","DGLO",2021,2021-07-23,1915
"168403","Simon Lizotte","Preserve",2021,2021-07-30,1941
"168422","Nikko Locastro","Preserve",2021,2021-07-30,1961
"168429","Garrett Gurthie","Preserve",2021,2021-07-30,1966
"168439","James Conrad","Preserve",2021,2021-07-30,1986
"168443","Matthew Orum","Preserve",2021,2021-07-30,1898
"168506","Paul McBeth","Preserve",2021,2021-07-30,2058
"168542","Bradley Williams","Preserve",2021,2021-07-30,1871
"168561","Jeremy Koling","Preserve",2021,2021-07-30,1924
"168599","Eagle McMahon","Preserve",2021,2021-07-30,2033
"168602","Richard Wysocki","Preserve",2021,2021-07-30,2048
"168633","Kevin Jones","Preserve",2021,2021-07-30,1995
"168691","Calvin Heimburg","Preserve",2021,2021-07-30,2026
"168712","Drew Gibson","Preserve",2021,2021-07-30,1937
"168749","Chris Clemons","Preserve",2021,2021-07-30,1938
"168780","Eric Oakley","Preserve",2021,2021-07-30,1922
"168828","Adam Hammes","Preserve",2021,2021-07-30,1967
"168907","Andrew Presnell","Preserve",2021,2021-07-30,1918
"168979","Joel Freeman","Preserve",2021,2021-07-30,1943
"169061","Gannon Buhr","Preserve",2021,2021-07-30,1856
"169213","Kyle Klein","Preserve",2021,2021-07-30,1930
"169228","Thomas Gilbert","Preserve",2021,2021-07-30,1915
"169369","Alden Harris","Preserve",2021,2021-07-30,1858
"169604","Ezra Aderhold","Preserve",2021,2021-07-30,1926
"172691","Nikko Locastro","Ledgestone",2021,2021-08-05,1970
"172698","Garrett Gurthie","Ledgestone",2021,2021-08-05,1966
"172708","James Conrad","Ledgestone",2021,2021-08-05,1983
"172712","Matthew Orum","Ledgestone",2021,2021-08-05,1911
"172775","Paul McBeth","Ledgestone",2021,2021-08-05,2053
"172811","Bradley Williams","Ledgestone",2021,2021-08-05,1886
"172830","Jeremy Koling","Ledgestone",2021,2021-08-05,1929
"172868","Eagle McMahon","Ledgestone",2021,2021-08-05,2040
"172871","Richard Wysocki","Ledgestone",2021,2021-08-05,2054
"172902","Kevin Jones","Ledgestone",2021,2021-08-05,1999
"172938","Corey Ellis","Ledgestone",2021,2021-08-05,1834
"172960","Calvin Heimburg","Ledgestone",2021,2021-08-05,2033
"172981","Drew Gibson","Ledgestone",2021,2021-08-05,1951
"173018","Chris Clemons","Ledgestone",2021,2021-08-05,1946
"173049","Eric Oakley","Ledgestone",2021,2021-08-05,1927
"173097","Adam Hammes","Ledgestone",2021,2021-08-05,1966
"173159","Chris Dickerson","Ledgestone",2021,2021-08-05,1978
"173176","Andrew Presnell","Ledgestone",2021,2021-08-05,1920
"173248","Joel Freeman","Ledgestone",2021,2021-08-05,1953
"173330","Gannon Buhr","Ledgestone",2021,2021-08-05,1861
"173482","Kyle Klein","Ledgestone",2021,2021-08-05,1943
"173497","Thomas Gilbert","Ledgestone",2021,2021-08-05,1921
"173638","Alden Harris","Ledgestone",2021,2021-08-05,1872
"173873","Ezra Aderhold","Ledgestone",2021,2021-08-05,1928
"174095","Simon Lizotte","European Championship",2021,2021-08-11,1928
"175537","Nikko Locastro","Idlewild",2021,2021-08-13,1973
"175544","Garrett Gurthie","Idlewild",2021,2021-08-13,1973
"175554","James Conrad","Idlewild",2021,2021-08-13,1991
"175558","Matthew Orum","Idlewild",2021,2021-08-13,1922
"175621","Paul McBeth","Idlewild",2021,2021-08-13,2059
"175657","Bradley Williams","Idlewild",2021,2021-08-13,1899
"175676","Jeremy Koling","Idlewild",2021,2021-08-13,1936
"175714","Eagle McMahon","Idlewild",2021,2021-08-13,2043
"175717","Richard Wysocki","Idlewild",2021,2021-08-13,2059
"175748","Kevin Jones","Idlewild",2021,2021-08-13,2009
"175784","Corey Ellis","Idlewild",2021,2021-08-13,1864
"175806","Calvin Heimburg","Idlewild",2021,2021-08-13,2041
"175827","Drew Gibson","Idlewild",2021,2021-08-13,1965
"175864","Chris Clemons","Idlewild",2021,2021-08-13,1955
"175895","Eric Oakley","Idlewild",2021,2021-08-13,1925
"175943","Adam Hammes","Idlewild",2021,2021-08-13,1975
"176005","Chris Dickerson","Idlewild",2021,2021-08-13,1984
"176022","Andrew Presnell","Idlewild",2021,2021-08-13,1929
"176094","Joel Freeman","Idlewild",2021,2021-08-13,1970
"176176","Gannon Buhr","Idlewild",2021,2021-08-13,1876
"176328","Kyle Klein","Idlewild",2021,2021-08-13,1959
"176343","Thomas Gilbert","Idlewild",2021,2021-08-13,1928
"176484","Alden Harris","Idlewild",2021,2021-08-13,1888
"176719","Ezra Aderhold","Idlewild",2021,2021-08-13,1935
"179806","Nikko Locastro","DDGC",2021,2021-08-27,1981
"179813","Garrett Gurthie","DDGC",2021,2021-08-27,1981
"179823","James Conrad","DDGC",2021,2021-08-27,1990
"179827","Matthew Orum","DDGC",2021,2021-08-27,1936
"179926","Bradley Williams","DDGC",2021,2021-08-27,1913
"179986","Richard Wysocki","DDGC",2021,2021-08-27,2065
"180053","Corey Ellis","DDGC",2021,2021-08-27,1887
"180075","Calvin Heimburg","DDGC",2021,2021-08-27,2048
"180164","Eric Oakley","DDGC",2021,2021-08-27,1922
"180212","Adam Hammes","DDGC",2021,2021-08-27,1982
"180274","Chris Dickerson","DDGC",2021,2021-08-27,1987
"180363","Joel Freeman","DDGC",2021,2021-08-27,1978
"180753","Alden Harris","DDGC",2021,2021-08-27,1902
"182652","Nikko Locastro","MVP",2021,2021-09-03,1984
"182659","Garrett Gurthie","MVP",2021,2021-09-03,1980
"182669","James Conrad","MVP",2021,2021-09-03,1995
"182673","Matthew Orum","MVP",2021,2021-09-03,1950
"182736","Paul McBeth","MVP",2021,2021-09-03,2067
"182772","Bradley Williams","MVP",2021,2021-09-03,1920
"182791","Jeremy Koling","MVP",2021,2021-09-03,1945
"182829","Eagle McMahon","MVP",2021,2021-09-03,2046
"182832","Richard Wysocki","MVP",2021,2021-09-03,2071
"182863","Kevin Jones","MVP",2021,2021-09-03,2003
"182899","Corey Ellis","MVP",2021,2021-09-03,1903
"182921","Calvin Heimburg","MVP",2021,2021-09-03,2052
"182942","Drew Gibson","MVP",2021,2021-09-03,1965
"182979","Chris Clemons","MVP",2021,2021-09-03,1959
"183010","Eric Oakley","MVP",2021,2021-09-03,1938
"183058","Adam Hammes","MVP",2021,2021-09-03,1997
"183120","Chris Dickerson","MVP",2021,2021-09-03,1991
"183137","Andrew Presnell","MVP",2021,2021-09-03,1933
"183209","Joel Freeman","MVP",2021,2021-09-03,1984
"183443","Kyle Klein","MVP",2021,2021-09-03,1953
"183458","Thomas Gilbert","MVP",2021,2021-09-03,1939
"183599","Alden Harris","MVP",2021,2021-09-03,1914
"183834","Ezra Aderhold","MVP",2021,2021-09-03,1942
"185479","Simon Lizotte","GMC",2021,2021-09-09,1956
"185498","Nikko Locastro","GMC",2021,2021-09-09,1989
"185505","Garrett Gurthie","GMC",2021,2021-09-09,1988
"185515","James Conrad","GMC",2021,2021-09-09,1999
"185519","Matthew Orum","GMC",2021,2021-09-09,1966
"185582","Paul McBeth","GMC",2021,2021-09-09,2083
"185618","Bradley Williams","GMC",2021,2021-09-09,1935
"185637","Jeremy Koling","GMC",2021,2021-09-09,1956
"185675","Eagle McMahon","GMC",2021,2021-09-09,2061
"185678","Richard Wysocki","GMC",2021,2021-09-09,2086
"185709","Kevin Jones","GMC",2021,2021-09-09,2006
"185745","Corey Ellis","GMC",2021,2021-09-09,1926
"185767","Calvin Heimburg","GMC",2021,2021-09-09,2054
"185788","Drew Gibson","GMC",2021,2021-09-09,1968
"185825","Chris Clemons","GMC",2021,2021-09-09,1972
"185856","Eric Oakley","GMC",2021,2021-09-09,1938
"185904","Adam Hammes","GMC",2021,2021-09-09,1998
"185966","Chris Dickerson","GMC",2021,2021-09-09,2016
"185983","Andrew Presnell","GMC",2021,2021-09-09,1956
"186055","Joel Freeman","GMC",2021,2021-09-09,1991
"186137","Gannon Buhr","GMC",2021,2021-09-09,1911
"186289","Kyle Klein","GMC",2021,2021-09-09,1975
"186304","Thomas Gilbert","GMC",2021,2021-09-09,1952
"186445","Alden Harris","GMC",2021,2021-09-09,1928
"186680","Ezra Aderhold","GMC",2021,2021-09-09,1942
"189767","Nikko Locastro","MCO",2021,2021-09-23,1997
"189774","Garrett Gurthie","MCO",2021,2021-09-23,2002
"189784","James Conrad","MCO",2021,2021-09-23,2009
"189788","Matthew Orum","MCO",2021,2021-09-23,1970
"189851","Paul McBeth","MCO",2021,2021-09-23,2083
"189887","Bradley Williams","MCO",2021,2021-09-23,1954
"189947","Richard Wysocki","MCO",2021,2021-09-23,2091
"189978","Kevin Jones","MCO",2021,2021-09-23,2023
"190014","Corey Ellis","MCO",2021,2021-09-23,1934
"190125","Eric Oakley","MCO",2021,2021-09-23,1954
"190173","Adam Hammes","MCO",2021,2021-09-23,2014
"190235","Chris Dickerson","MCO",2021,2021-09-23,2027
"190324","Joel Freeman","MCO",2021,2021-09-23,1991
"190714","Alden Harris","MCO",2021,2021-09-23,1943
"190949","Ezra Aderhold","MCO",2021,2021-09-23,1940
"195440","Simon Lizotte","USDGC",2021,2021-10-06,1963
"195459","Nikko Locastro","USDGC",2021,2021-10-06,2012
"195466","Garrett Gurthie","USDGC",2021,2021-10-06,1998
"195476","James Conrad","USDGC",2021,2021-10-06,2021
"195480","Matthew Orum","USDGC",2021,2021-10-06,1985
"195543","Paul McBeth","USDGC",2021,2021-10-06,2091
"195579","Bradley Williams","USDGC",2021,2021-10-06,1974
"195598","Jeremy Koling","USDGC",2021,2021-10-06,1963
"195636","Eagle McMahon","USDGC",2021,2021-10-06,2066
"195639","Richard Wysocki","USDGC",2021,2021-10-06,2100
"195670","Kevin Jones","USDGC",2021,2021-10-06,2007
"195706","Corey Ellis","USDGC",2021,2021-10-06,1953
"195728","Calvin Heimburg","USDGC",2021,2021-10-06,2054
"195749","Drew Gibson","USDGC",2021,2021-10-06,1988
"195786","Chris Clemons","USDGC",2021,2021-10-06,1981
"195817","Eric Oakley","USDGC",2021,2021-10-06,1966
"195865","Adam Hammes","USDGC",2021,2021-10-06,2019
"195927","Chris Dickerson","USDGC",2021,2021-10-06,2037
"195944","Andrew Presnell","USDGC",2021,2021-10-06,1967
"196016","Joel Freeman","USDGC",2021,2021-10-06,2007
"196098","Gannon Buhr","USDGC",2021,2021-10-06,1933
"196250","Kyle Klein","USDGC",2021,2021-10-06,1994
"196265","Thomas Gilbert","USDGC",2021,2021-10-06,1956
"196406","Alden Harris","USDGC",2021,2021-10-06,1952
"196641","Ezra Aderhold","USDGC",2021,2021-10-06,1962
"196861","Nikko Locastro","LVC",2022,2022-02-24,1966
"196864","Garrett Gurthie","LVC",2022,2022-02-24,1946
"196868","James Conrad","LVC",2022,2022-02-24,1970
"196917","Bradley Williams","LVC",2022,2022-02-24,1911
"196928","Jeremy Koling","LVC",2022,2022-02-24,1919
"196953","Eagle McMahon","LVC",2022,2022-02-24,1944
"196954","Richard Wysocki","LVC",2022,2022-02-24,2031
"196971","Kevin Jones","LVC",2022,2022-02-24,1971
"196992","Corey Ellis","LVC",2022,2022-02-24,1886
"197007","Calvin Heimburg","LVC",2022,2022-02-24,2011
"197018","Drew Gibson","LVC",2022,2022-02-24,1957
"197030","Chris Clemons","LVC",2022,2022-02-24,1918
"197070","Adam Hammes","LVC",2022,2022-02-24,1980
"197109","Chris Dickerson","LVC",2022,2022-02-24,1986
"197117","Andrew Presnell","LVC",2022,2022-02-24,1919
"197200","Gannon Buhr","LVC",2022,2022-02-24,1915
"197289","Kyle Klein","LVC",2022,2022-02-24,1935
"197294","Thomas Gilbert","LVC",2022,2022-02-24,1927
"197365","Alden Harris","LVC",2022,2022-02-24,1890
"197503","Ezra Aderhold","LVC",2022,2022-02-24,1923
"198518","Simon Lizotte","Waco",2022,2022-03-11,1907
"198525","Nikko Locastro","Waco",2022,2022-03-11,1971
"198528","Garrett Gurthie","Waco",2022,2022-03-11,1947
"198532","James Conrad","Waco",2022,2022-03-11,1973
"198561","Paul McBeth","Waco",2022,2022-03-11,2039
"198581","Bradley Williams","Waco",2022,2022-03-11,1934
"198592","Jeremy Koling","Waco",2022,2022-03-11,1919
"198618","Richard Wysocki","Waco",2022,2022-03-11,2040
"198635","Kevin Jones","Waco",2022,2022-03-11,1975
"198656","Corey Ellis","Waco",2022,2022-03-11,1891
"198671","Calvin Heimburg","Waco",2022,2022-03-11,2009
"198694","Chris Clemons","Waco",2022,2022-03-11,1938
"198734","Adam Hammes","Waco",2022,2022-03-11,1958
"198773","Chris Dickerson","Waco",2022,2022-03-11,1984
"198781","Andrew Presnell","Waco",2022,2022-03-11,1920
"198821","Joel Freeman","Waco",2022,2022-03-11,1965
"198864","Gannon Buhr","Waco",2022,2022-03-11,1920
"198953","Kyle Klein","Waco",2022,2022-03-11,1943
"198958","Thomas Gilbert","Waco",2022,2022-03-11,1938
"199029","Alden Harris","Waco",2022,2022-03-11,1897
"199167","Ezra Aderhold","Waco",2022,2022-03-11,1913
"199357","Nikko Locastro","Texas",2022,2022-03-25,1975
"199360","Garrett Gurthie","Texas",2022,2022-03-25,1944
"199364","James Conrad","Texas",2022,2022-03-25,1984
"199367","Matthew Orum","Texas",2022,2022-03-25,1944
"199393","Paul McBeth","Texas",2022,2022-03-25,2040
"199413","Bradley Williams","Texas",2022,2022-03-25,1931
"199424","Jeremy Koling","Texas",2022,2022-03-25,1932
"199450","Richard Wysocki","Texas",2022,2022-03-25,2057
"199467","Kevin Jones","Texas",2022,2022-03-25,1979
"199488","Corey Ellis","Texas",2022,2022-03-25,1902
"199503","Calvin Heimburg","Texas",2022,2022-03-25,2025
"199526","Chris Clemons","Texas",2022,2022-03-25,1941
"199566","Adam Hammes","Texas",2022,2022-03-25,1978
"199605","Chris Dickerson","Texas",2022,2022-03-25,1997
"199653","Joel Freeman","Texas",2022,2022-03-25,1978
"199696","Gannon Buhr","Texas",2022,2022-03-25,1935
"199785","Kyle Klein","Texas",2022,2022-03-25,1947
"199861","Alden Harris","Texas",2022,2022-03-25,1907
"199999","Ezra Aderhold","Texas",2022,2022-03-25,1931
"200182","Simon Lizotte","Champion",2022,2022-04-14,1936
"200189","Nikko Locastro","Champion",2022,2022-04-14,1981
"200196","James Conrad","Champion",2022,2022-04-14,1995
"200199","Matthew Orum","Champion",2022,2022-04-14,1968
"200225","Paul McBeth","Champion",2022,2022-04-14,2057
"200245","Bradley Williams","Champion",2022,2022-04-14,1946
"200256","Jeremy Koling","Champion",2022,2022-04-14,1944
"200281","Eagle McMahon","Champion",2022,2022-04-14,2023
"200282","Richard Wysocki","Champion",2022,2022-04-14,2066
"200299","Kevin Jones","Champion",2022,2022-04-14,1986
"200320","Corey Ellis","Champion",2022,2022-04-14,1938
"200335","Calvin Heimburg","Champion",2022,2022-04-14,2038
"200346","Drew Gibson","Champion",2022,2022-04-14,1976
"200358","Chris Clemons","Champion",2022,2022-04-14,1954
"200377","Eric Oakley","Champion",2022,2022-04-14,1939
"200398","Adam Hammes","Champion",2022,2022-04-14,1982
"200437","Chris Dickerson","Champion",2022,2022-04-14,2022
"200445","Andrew Presnell","Champion",2022,2022-04-14,1941
"200485","Joel Freeman","Champion",2022,2022-04-14,1988
"200528","Gannon Buhr","Champion",2022,2022-04-14,1961
"200617","Kyle Klein","Champion",2022,2022-04-14,1963
"200622","Thomas Gilbert","Champion",2022,2022-04-14,1946
"200693","Alden Harris","Champion",2022,2022-04-14,1921
"200831","Ezra Aderhold","Champion",2022,2022-04-14,1949
"201014","Simon Lizotte","Jonesbor",2022,2022-04-22,1952
"201021","Nikko Locastro","Jonesbor",2022,2022-04-22,1987
"201024","Garrett Gurthie","Jonesbor",2022,2022-04-22,1958
"201028","James Conrad","Jonesbor",2022,2022-04-22,1999
"201031","Matthew Orum","Jonesbor",2022,2022-04-22,1977
"201057","Paul McBeth","Jonesbor",2022,2022-04-22,2064
"201077","Bradley Williams","Jonesbor",2022,2022-04-22,1951
"201088","Jeremy Koling","Jonesbor",2022,2022-04-22,1939
"201114","Richard Wysocki","Jonesbor",2022,2022-04-22,2075
"201131","Kevin Jones","Jonesbor",2022,2022-04-22,2003
"201152","Corey Ellis","Jonesbor",2022,2022-04-22,1948
"201167","Calvin Heimburg","Jonesbor",2022,2022-04-22,2050
"201178","Drew Gibson","Jonesbor",2022,2022-04-22,1973
"201190","Chris Clemons","Jonesbor",2022,2022-04-22,1951
"201209","Eric Oakley","Jonesbor",2022,2022-04-22,1940
"201230","Adam Hammes","Jonesbor",2022,2022-04-22,1986
"201269","Chris Dickerson","Jonesbor",2022,2022-04-22,2029
"201277","Andrew Presnell","Jonesbor",2022,2022-04-22,1932
"201317","Joel Freeman","Jonesbor",2022,2022-04-22,1994
"201360","Gannon Buhr","Jonesbor",2022,2022-04-22,1975
"201449","Kyle Klein","Jonesbor",2022,2022-04-22,1969
"201454","Thomas Gilbert","Jonesbor",2022,2022-04-22,1959
"201525","Alden Harris","Jonesbor",2022,2022-04-22,1937
"201663","Ezra Aderhold","Jonesbor",2022,2022-04-22,1963
"202678","Simon Lizotte","DD",2022,2022-04-28,1977
"202688","Garrett Gurthie","DD",2022,2022-04-28,1937
"202692","James Conrad","DD",2022,2022-04-28,2013
"202721","Paul McBeth","DD",2022,2022-04-28,2036
"202741","Bradley Williams","DD",2022,2022-04-28,1963
"202752","Jeremy Koling","DD",2022,2022-04-28,1966
"202778","Richard Wysocki","DD",2022,2022-04-28,2088
"202795","Kevin Jones","DD",2022,2022-04-28,2012
"202816","Corey Ellis","DD",2022,2022-04-28,1937
"202831","Calvin Heimburg","DD",2022,2022-04-28,2059
"202842","Drew Gibson","DD",2022,2022-04-28,1982
"202854","Chris Clemons","DD",2022,2022-04-28,1968
"202873","Eric Oakley","DD",2022,2022-04-28,1934
"202933","Chris Dickerson","DD",2022,2022-04-28,2042
"202941","Andrew Presnell","DD",2022,2022-04-28,1945
"202981","Joel Freeman","DD",2022,2022-04-28,1997
"203024","Gannon Buhr","DD",2022,2022-04-28,1987
"203113","Kyle Klein","DD",2022,2022-04-28,1988
"203118","Thomas Gilbert","DD",2022,2022-04-28,1977
"203189","Alden Harris","DD",2022,2022-04-28,1943
"203327","Ezra Aderhold","DD",2022,2022-04-28,1973
