"","Name","Elo","dElo"
"23668","Paige Pierce",1846.7,-1
"23684","Catrina Allen",1840.2,-2.6
"23732","Kristin Tattar",1829.7,10.2
"23760","Missy Gannon",1814.6,-1.6
"23686","Ohn Scoggins",1791.6,12.4
"23676","Sarah Hokom",1790,4.5
"23716","Eveliina Salonen",1789.6,11.1
"24157","Valerie Mandujano",1784.8,2.6
"23703","Henna Blomroos",1772.7,4.7
"23776","Kat Mertsch",1760.7,9
"23744","Hailey King",1756.7,-3
"23846","Ella Hansen",1755.5,6.7
"24158","Alexis Mandujano",1745.7,-4.6
"23670","Lisa Fajkus",1742.4,-4.3
"24676","Macie Velediaz",1740.8,13.1
"23689","Jessica Weese",1739.7,0.9
"23713","Maria Oliva",1729.1,-5.1
"29056","Madison Walker",1727.3,2.4
"23671","Rebecca Cox",1726.5,4.9
"29465","Kona Star Panis",1719.7,11
"27004","Juliana Korver",1719.7,-1.6
"29516","Heidi Laine",1718.8,8.9
"23780","Heather Young",1718.4,0.8
"28612","Emily Beach",1714.7,2.3
"23660","Jennifer Allen",1713.7,5.2
